artist,title,id,H_or_N,cluster
JAY-Z,I Just Wanna Love U (Give It 2 Me),spotify:track:0s46SltT4On0Z6kglK1I5c,N,1
Mariah Carey,Thank God I Found You (feat. Joe & 98°),spotify:track:1RS3LStQYhju50eBdD9Uul,N,5
Baha Men,Who Let The Dogs Out,spotify:track:1H5tvpoApNDxvxDexoaAUo,N,4
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",spotify:track:5PMKzsUsTpZZGsCcJBuhP2,N,2
LeAnn Rimes,Can't Fight The Moonlight,spotify:track:1o3MncVxP3tLVSN00uZt02,N,2
Oasis,Go Let It Out,spotify:track:7kFbTUR31qyzrjjary7llr,N,0
DJ Ötzi,Hey Baby (Radio Mix),spotify:track:0HNXnhNZZtRZFLhP4hfyCP,N,0
P!nk,Most Girls,spotify:track:2hns6Dv29Yrg68AVTJiAyA,N,2
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),spotify:track:0Ac0Ge47UpkVceZyPin7IP,N,5
Craig David,Fill Me In,spotify:track:0UzsDmdpw0Q14KU4hieQss,N,2
Christina Aguilera,I Turn to You,spotify:track:4Do68W4FWO2hRAJCzG1lus,N,5
Madonna,American Pie,spotify:track:2QgWuCtBpNIpl5trmKCxRf,N,5
Red Hot Chili Peppers,Otherside,spotify:track:64BbK9SFKH2jk86U3dGj2P,N,4
Sammie,I Like It,spotify:track:0IvTGWbNnCiUi9IOF7ye3F,N,2
Craig David,7 Days,spotify:track:0gPQTLaqHDgdupKEok7J2x,N,4
Santana,Maria Maria (feat. The Product G&B),spotify:track:3XKIUb7HzIF1Vu9usunMzc,N,4
Kandi,Don't Think I'm Not,spotify:track:487Dyzs7Xbbk4hIWYyYT80,N,2
P!nk,There You Go,spotify:track:6dJ2mSRaKE9ctYw9qWNGWQ,N,2
Vengaboys,Shalala Lala,spotify:track:4pV49P2v3sxI0XYjUTmOl1,N,4
Ronan Keating,Life Is A Rollercoaster,spotify:track:1vlTMKVV0FxG6CxGTmSY3t,N,4
Madison Avenue,Don't Call Me Baby,spotify:track:4fazGt0v2v2zkzddQOcDZD,N,0
Destiny's Child,"Jumpin', Jumpin'",spotify:track:3bAzkiGUK53jOG4T4UH0zX,N,4
Céline Dion,That's the Way It Is,spotify:track:5s4catxeZsaWFnOrvrXZHf,N,2
3 Doors Down,Kryptonite,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,N,2
Carl Thomas,I Wish,spotify:track:6rqs1XIh8YCyaEWlyjyAqP,N,4
Mystikal,Shake Ya Ass,spotify:track:1jRzdY7oUBOhrylNtiMtBD,N,1
Fuel,Hemorrhage (In My Hands),spotify:track:1sjrDQXqAa9V07FjKIlAQ4,N,4
Donell Jones,Where I Wanna Be,spotify:track:2uZwyxrg6VPvlVsvclIfel,N,5
Savage Garden,Crash and Burn,spotify:track:60g4sp8i3gXSb1EkphMl1g,N,4
Westlife,My Love,spotify:track:5p0ietGkLNEqx1Z7ijkw5g,N,4
All Saints,Pure Shores,spotify:track:2oncAh9o85pq1aswacLqAz,N,2
Destiny's Child,"Independent Women, Pt. 1",spotify:track:69XUpOpjzDKcfdxqZebGiI,N,1
*NSYNC,It's Gonna Be Me,spotify:track:3sVeFqQgQTBNeLhxVzgpSK,N,4
Erykah Badu,Bag Lady,spotify:track:7BgUcOjSOlKJXASLgJ6bx1,N,5
Marc Anthony,You Sang To Me,spotify:track:2dwhMQsFeHr2S787WxqAqW,N,2
Matchbox Twenty,Bent,spotify:track:6fA7akEuTUL3dW1V0GELaZ,N,0
Gabrielle,Rise,spotify:track:63nkNgHkmfgjElTEnCzKYU,N,5
Backstreet Boys,Shape of My Heart,spotify:track:35o9a4iAfLl5jRmqMX9c1D,N,2
Creed,With Arms Wide Open,spotify:track:0eKyHwckh9vQb8ncZ2DXCs,N,4
The Corrs,Breathless,spotify:track:5OQGeJ1ceykovrykZsGhqL,N,2
Joe,I Wanna Know,spotify:track:1m2xMsxbtxv21Brome189p,N,0
Wheatus,Teenage Dirtbag,spotify:track:3LI4MmibTkXH5cGpCGZgyw,N,4
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,spotify:track:7A0apkTSTvMbSI7yplcmlh,N,2
Creed,Higher,spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,N,4
Britney Spears,Lucky,spotify:track:4cHUfCT3yetKajxWKLhDlT,N,4
Nelly,Country Grammar (Hot Shit),spotify:track:3wMUvT6eIw2L5cZFG1yH9j,N,4
Shaggy,It Wasn't Me,spotify:track:3WkibOpDF7cQ5xntM1epyf,N,4
Destiny's Child,Survivor,spotify:track:2Mpj1Ul5OFPyyP4wB62Rvi,N,0
Eminem,Stan,spotify:track:3UmaczJpikHgJFyBTAJVoz,N,0
Kylie Minogue,Can't Get You out of My Head,spotify:track:3E7ZwUMJFqpsDOJzEkBrQ7,N,3
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",spotify:track:7GQqj9jRtDkMp8zByehXQI,N,0
Nelly Furtado,I'm Like A Bird,spotify:track:2aGw77pZqli064JiPuXYRi,N,2
Shakira,"Whenever, Wherever",spotify:track:2lnzGkdtDj5mtlcOW2yRtG,N,4
Jimmy Eat World,The Middle,spotify:track:6GG73Jik4jUlQCkKg9JuGO,N,4
Train,Drops of Jupiter (Tell Me),spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,N,4
Geri Halliwell,It's Raining Men,spotify:track:7q3qX7Ees3FZtRFJXWgPZs,N,0
Blu Cantrell,Hit 'Em Up Style (Oops!),spotify:track:4zYTZvtcww7OWKie7fxA9E,N,0
Britney Spears,I'm a Slave 4 U,spotify:track:6ldwfK0yWgTAlmIfuQkTYN,N,2
Kylie Minogue,In Your Eyes,spotify:track:1t5nwfsb90IliczIhOMnpJ,N,2
Missy Elliott,One Minute Man (feat. Ludacris),spotify:track:0jG92AlXau21qgCQRxGLic,N,1
Mary J. Blige,Family Affair,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,N,2
Faithless,We Come 1 - Radio Edit,spotify:track:7reoZz80hQYuWtEn0Lsd0p,N,3
Limp Bizkit,Rollin' (Air Raid Vehicle),spotify:track:3IV4swNduIRunHREK80owz,N,4
Lasgo,Something,spotify:track:1Bq3KVeMBRH0R9wnwoRfAh,N,2
iio,Rapture (feat.Nadia Ali),spotify:track:0OSAJEA0ekX6pr2nuiPzX7,N,2
Emma Bunton,What Took You So Long?,spotify:track:65QYY4R3Fa3tjjPDWTTnff,N,2
112,It's Over Now,spotify:track:769geiA8btidGHda4BBDOJ,N,4
Blue,All Rise,spotify:track:30MQSL5JdjYhhWQKwudYt3,N,3
Jessica Simpson,Irresistible,spotify:track:2TVSa07y6g3HRn4oLWv57M,N,2
Crazy Town,Butterfly,spotify:track:4BggEwLhGfrbrl7JBhC8EC,N,2
Michael Jackson,You Rock My World,spotify:track:1Lhwn4PqeGpM4LTVUowW76,N,1
Eve,Let Me Blow Ya Mind,spotify:track:3RmKpob8xzv1pzHEQrMJah,N,2
Jennifer Lopez,Ain't It Funny,spotify:track:5ahFyKndeg1hqfmNumL3WF,N,2
Brandy,Another Day in Paradise - R&B-Version,spotify:track:4AYhsnQ43KBckV3RBagFPJ,N,2
Nickelback,How You Remind Me,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,N,2
Daft Punk,One More Time,spotify:track:0DiWol3AO6WpXZgp0goxAV,N,4
Outkast,Ms. Jackson,spotify:track:0I3q5fE6wg7LIfHGngUTnV,N,1
Fragma,Everytime You Need Me - Radio Version,spotify:track:7MLPGQfmCkHpqfAib42qby,N,2
Mariah Carey,Loverboy,spotify:track:4igqjAFcH35y4XybHzJ3aD,N,0
Dido,Thank You,spotify:track:3yUcJwYu7fXAfqMj9krY6l,N,5
Joe,Stutter (feat. Mystikal) - Double Take Remix,spotify:track:7FWuzwapuKHTEyDJIcQOw3,N,2
P.O.D.,Youth of the Nation,spotify:track:0UrWr7Jnu1heq1o99ZwUd0,N,0
Jennifer Lopez,Play,spotify:track:6MLsahMK3VvH9NUwXOktdS,N,2
Missy Elliott,Get Ur Freak On,spotify:track:6zsk6uF3MxfIeHPlubKBvR,N,1
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),spotify:track:1OmykUh7sjL6x7U0oFZPov,N,2
Christina Milian,AM To PM,spotify:track:1PUNthIXityeZlnRLcP7JI,N,0
Roger Sanchez,Another Chance,spotify:track:46WVWDw8SubxyzQUXRBWt4,N,4
Gorillaz,Clint Eastwood,spotify:track:1q46abSg9XA5cPN2IhQYae,N,2
2Pac,Until The End Of Time,spotify:track:5avQSAKB1dOEeIQBqV4jgW,N,1
Tamia,Stranger in My House,spotify:track:08GOEVXupC6ECbulhPGQKm,N,4
Mary J. Blige,No More Drama,spotify:track:7nWsh14AHpnTzq1Xejz90U,N,2
Jennifer Lopez,Love Don't Cost a Thing,spotify:track:1fgvJXlcZ7uIddMpqsqw0L,N,0
Jamiroquai,Little L,spotify:track:7hhclvecTpNxNNRCk7NUoc,N,2
Case,Missing You,spotify:track:0CmXXEwul09Kf8X68lPA5l,N,4
112,Peaches & Cream,spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,N,1
Five,Let's Dance - Radio Edit,spotify:track:2GeeOvZ02vgWehu9Sl8tX8,N,5
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],spotify:track:6j8nh1kHwezw8pkC2eU87F,N,4
Alien Ant Farm,Smooth Criminal,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,N,2
Erick Sermon,Music (feat. Marvin Gaye),spotify:track:6IFOw9Ck9mWHRQgw6QrPYx,N,1
D12,Purple Pills,spotify:track:5IweeQZdY5XEzStLzUJG5t,N,4
Usher,Pop Ya Collar - Radio Edit,spotify:track:0aBKFfdyOD1Ttvgv0cfjjJ,N,0
Madonna,Don't Tell Me,spotify:track:7DOtIhTTpPZyjvbO509hSC,N,2
Blue,If You Come Back,spotify:track:6nV2SYnWxCg0Cnmz1GSh2H,N,2
Atomic Kitten,Eternal Flame - Single Version,spotify:track:5MoDQWMDMaAGDEiWsJfeCi,N,5
Jagged Edge,Where the Party At (feat. Nelly),spotify:track:5mNV8Mz59bzyuQ53gTw0c0,N,1
Afroman,Because I Got High,spotify:track:0rRboI6IRuGx56Dq3UdYY4,N,1
S Club 7,Don't Stop Movin',spotify:track:4dzreTCcGVgeF1vCcd22AC,N,2
Craig David,Fill Me In,spotify:track:0UzsDmdpw0Q14KU4hieQss,N,2
Nelly Furtado,Turn Off The Light,spotify:track:4gM2BugovNf4bvXdjZODzG,N,0
The Supermen Lovers,Starlight - Radio Edit,spotify:track:4UfupbARPxljVkBmuZlJnY,N,4
Mis-Teeq,All I Want - Sunship Radio Edit,spotify:track:2t0Ci12vaJaYzEmsJL2S1X,N,5
Jagged Edge,Promise,spotify:track:1X1KDnhTnb28tpJlgOV3lD,N,2
S Club 7,Have You Ever,spotify:track:3gTQwwDNJ42CCLo3Sf4JDd,N,1
Enya,Only Time,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,N,3
Faith Hill,There You'll Be,spotify:track:1s2khOWzC99udpUaPICLJI,N,5
Ronan Keating,Lovin' Each Day,spotify:track:61fUmn6wYvU7qS62wNvQFN,N,4
Destiny's Child,Bootylicious,spotify:track:41nT1Sp6ChR65FbsdLlFHW,N,1
Steps,It's the Way You Make Me Feel,spotify:track:2B1jt2a6zdN4qLiugoEJry,N,2
Sunshine Anderson,Heard It All Before,spotify:track:0xikWgPgYN9BEes0ieZ8Co,N,4
Lenny Kravitz,Again,spotify:track:5c1QJAiC3773EwiZLwHf5x,N,4
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,spotify:track:747tpec1a0Hfqvj2za1pBs,N,2
DB Boulevard,Point Of View - Radio Edit,spotify:track:1Jlt67b4oOhCoFW9GQwL9T,N,2
Janet Jackson,All For You,spotify:track:5X8kkUaUlAyAUr9TYqDFTH,N,4
Atomic Kitten,Whole Again,spotify:track:16MJqq0vEuW6GRX6faetTm,N,4
Ja Rule,Livin' It Up,spotify:track:4ToZV7r72wSbVrljaLSp13,N,1
Destiny's Child,"Independent Women, Pt. 1",spotify:track:69XUpOpjzDKcfdxqZebGiI,N,1
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,spotify:track:4Mnw05kNd0j1XDHwtfzofp,N,4
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,spotify:track:6MLsahMK3VvH9NUwXOktdS,N,2
Musiq Soulchild,Love,spotify:track:6uSa5iCMwPr10Ftpz8w09b,N,5
